id,title,description,availability,condition,price,link,image_link,brand,google_product_category
5d3536a591785310,"Real Example of the Economics of Business,... — Audio Edition","The narrated edition, for the commute and the gym.",in stock,new,9.00 USD,https://example.com/store/p/real-example-of-the-economics-of-business-audio-edition.html,https://example.com/store/assets/real-example-of-the-economics-of-business-audio-edition.png,Hasahya Motivated,
b80f662e39b90a49,"Real Example of the Economics of Business,... Workbook",A printable worksheet that turns the method into something you actually do this week.,in stock,new,9.99 USD,https://example.com/store/p/real-example-of-the-economics-of-business-workbook.html,https://example.com/store/assets/real-example-of-the-economics-of-business-workbook.png,Hasahya Motivated,
d13c1b9cae340188,"The Real Example of the Economics of Business,... System Pack","The system as a ready-made file. Import it into Sheets, Excel or Notion and start filling it in.",in stock,new,24.00 USD,https://example.com/store/p/the-real-example-of-the-economics-of-business-system-pack.html,https://example.com/store/assets/the-real-example-of-the-economics-of-business-system-pack.png,Hasahya Motivated,
44156326727bf5e8,Business Consulting Session,"One session on one specific problem, with a written summary you can act on.",in stock,new,179.00 USD,https://example.com/store/p/business-consulting-session.html,https://example.com/store/assets/business-consulting-session.png,Hasahya Motivated,
4eaf066e34be29a5,"Real Example of the Economics of Business,...: The Complete Guide","The full method in one readable guide. Print it, or read it on anything. No fluff and no filler chapters.",in stock,new,14.00 USD,https://example.com/store/p/real-example-of-the-economics-of-business-the-complete-guide.html,https://example.com/store/assets/real-example-of-the-economics-of-business-the-complete-guide.png,Hasahya Motivated,
414053573c7d8607,Business Tee,"Printed and shipped on demand. No stock, no waiting on a batch.",in stock,new,19.00 USD,https://example.com/store/p/business-tee.html,https://example.com/store/assets/business-tee.png,Hasahya Motivated,
ef9efef96b088fcd,One Usable Idea About Education Systems — Audio Edition,"The narrated edition, for the commute and the gym.",in stock,new,9.00 USD,https://example.com/store/p/one-usable-idea-about-education-systems-audio-edition.html,https://example.com/store/assets/one-usable-idea-about-education-systems-audio-edition.png,Hasahya Motivated,
5eb4793c63be6821,One Usable Idea About Education Systems Workbook,A printable worksheet that turns the method into something you actually do this week.,in stock,new,9.99 USD,https://example.com/store/p/one-usable-idea-about-education-systems-workbook.html,https://example.com/store/assets/one-usable-idea-about-education-systems-workbook.png,Hasahya Motivated,
3b61a9a688796470,Education Print Set,"High-resolution printables at standard frame sizes. Download, print, frame.",in stock,new,8.99 USD,https://example.com/store/p/education-print-set.html,https://example.com/store/assets/education-print-set.png,Hasahya Motivated,
33e099f33182c8a4,Christian content Sticker Pack,"A small pack for the laptop, the notebook and the water bottle.",in stock,new,6.99 USD,https://example.com/store/p/christian-content-sticker-pack.html,https://example.com/store/assets/christian-content-sticker-pack.png,Hasahya Motivated,
ff54ac357688b897,Education Consulting Session,"One session on one specific problem, with a written summary you can act on.",in stock,new,179.00 USD,https://example.com/store/p/education-consulting-session.html,https://example.com/store/assets/education-consulting-session.png,Hasahya Motivated,
41a6b1819380d7a7,Biggest Myth About Christian Content: Back... Workbook,A printable worksheet that turns the method into something you actually do this week.,in stock,new,9.99 USD,https://example.com/store/p/biggest-myth-about-christian-content-back-workbook.html,https://example.com/store/assets/biggest-myth-about-christian-content-back-workbook.png,Hasahya Motivated,
5442d72d6f77f1c6,Christian content Print Set,"High-resolution printables at standard frame sizes. Download, print, frame.",in stock,new,8.99 USD,https://example.com/store/p/christian-content-print-set.html,https://example.com/store/assets/christian-content-print-set.png,Hasahya Motivated,
f42d5f5c3667a52d,Christian content Tee,"Printed and shipped on demand. No stock, no waiting on a batch.",in stock,new,19.00 USD,https://example.com/store/p/christian-content-tee.html,https://example.com/store/assets/christian-content-tee.png,Hasahya Motivated,
69aa899a0e9c74cf,The Business Circle,"Early access, the members-only monthly piece, and a direct line to me.",in stock,new,9.00 USD,https://example.com/store/p/the-business-circle.html,https://example.com/store/assets/the-business-circle.png,Hasahya Motivated,
5d317e7c7976a1e4,The Education Circle,"Early access, the members-only monthly piece, and a direct line to me.",in stock,new,9.00 USD,https://example.com/store/p/the-education-circle.html,https://example.com/store/assets/the-education-circle.png,Hasahya Motivated,
4d45ae7cddce0eab,The Christian content Circle,"Early access, the members-only monthly piece, and a direct line to me.",in stock,new,9.00 USD,https://example.com/store/p/the-christian-content-circle.html,https://example.com/store/assets/the-christian-content-circle.png,Hasahya Motivated,
